Trailer,Truck_Tank_Capacity_Liters,Truck_Type,Max_Trips_Per_Day,Distance_Limit_Per_Day,Active_Days,Availability_Percent
Trailer_1,11365.0,Small,4,200,492,55.78
Trailer_2,12728.8,Small,4,200,295,33.45
Trailer_3,20003.0,Medium,5,250,405,45.92
Trailer_4,11819.6,Small,4,200,248,28.12
Trailer_5,13001.56,Small,4,200,474,53.74
Trailer_6,11365.0,Small,4,200,402,45.58
Trailer_7,30100.0,Large,6,350,565,64.06
Trailer_8,25457.6,Medium,5,250,223,25.28
Trailer_9,27598.77,Medium,5,250,593,67.23
Trailer_10,28000.0,Medium,5,250,257,29.14
Trailer_11,28898.92,Medium,5,250,194,22.0
Trailer_12,28998.93,Medium,5,250,337,38.21
Trailer_13,11365.2,Small,4,200,95,10.77
Trailer_14,27276.0,Medium,5,250,513,58.16
Trailer_15,12274.2,Small,4,200,335,37.98
Trailer_16,13001.56,Small,4,200,596,67.57
Trailer_17,11365.0,Small,4,200,413,46.83
Trailer_18,29549.0,Medium,5,250,14,1.59
Trailer_19,12956.1,Small,4,200,534,60.54
Trailer_20,42600.76,Large,6,350,656,74.38
Trailer_21,30000.0,Large,6,350,179,20.29
Trailer_22,38000.01,Large,6,350,499,56.58
Trailer_23,41000.37,Large,6,350,704,79.82
Trailer_24,40914.0,Large,6,350,525,59.52
Trailer_25,36368.0,Large,6,350,26,2.95
Trailer_26,41099.39,Large,6,350,348,39.46
Trailer_27,41400.42,Large,6,350,568,64.4
Trailer_28,35999.77,Large,6,350,648,73.47
Trailer_29,40909.0,Large,6,350,501,56.8
Trailer_30,34900.0,Large,6,350,601,68.14
Trailer_31,42000.54,Large,6,350,565,64.06
Trailer_32,42000.54,Large,6,350,549,62.24
Trailer_33,42000.54,Large,6,350,579,65.65
Trailer_34,36368.0,Large,6,350,11,1.25
Trailer_35,36368.0,Large,6,350,19,2.15
Trailer_36,43187.0,Large,6,350,426,48.3
Trailer_37,42000.0,Large,6,350,404,45.8
Trailer_38,12274.2,Small,4,200,358,40.59
Trailer_39,11365.0,Small,4,200,85,9.64
Trailer_40,12274.2,Small,4,200,54,6.12
Trailer_41,36368.0,Large,6,350,41,4.65
Trailer_42,12274.2,Small,4,200,160,18.14
Trailer_43,41000.0,Large,6,350,47,5.33
Trailer_44,43000.0,Large,6,350,191,21.66
Trailer_45,35999.77,Large,6,350,6,0.68
Trailer_46,42600.56,Large,6,350,8,0.91
Trailer_47,34000.0,Large,6,350,3,0.34
Trailer_48,41000.0,Large,6,350,8,0.91
Trailer_49,31094.64,Large,6,350,49,5.56
Trailer_50,36368.0,Large,6,350,7,0.79
Trailer_51,36368.0,Large,6,350,26,2.95
Trailer_52,36368.0,Large,6,350,15,1.7
Trailer_53,11365.0,Small,4,200,5,0.57
Trailer_54,31099.58,Large,6,350,47,5.33
Trailer_55,36368.0,Large,6,350,2,0.23
Trailer_56,34095.0,Large,6,350,10,1.13
Trailer_57,11365.0,Small,4,200,12,1.36
Trailer_58,42800.0,Large,6,350,1,0.11
Trailer_59,21000.0,Medium,5,250,1,0.11
Trailer_60,18181.0,Medium,5,250,21,2.38
Trailer_61,19093.2,Medium,5,250,3,0.34
Trailer_62,36368.0,Large,6,350,2,0.23
Trailer_63,23000.0,Medium,5,250,6,0.68
Trailer_64,42732.4,Large,6,350,2,0.23
