Delivery_ID,Origin_ID,Destination_ID,Truck_Tank_Capacity_Liters,Product,Delivered_Volume_Liters,Product_Storage_Capacity_Liters,Previous_Delivery_Date,Delivery_Date,Tractor,Trailer,Distance_km
56660,Source_1,Station_1,11365.0,Product_1,6781.0,20441.38,2022-12-24,2023-01-02,,Trailer_1,52.544
56852,Source_1,Station_1,12728.8,Product_1,4912.0,20441.38,2023-01-02,2023-01-05,,Trailer_2,52.544
56995,Source_1,Station_1,20003.0,Product_1,7467.0,20441.38,2023-01-05,2023-01-07,,Trailer_3,52.544
57252,Source_1,Station_1,12728.8,Product_1,4941.0,20441.38,2023-01-07,2023-01-11,,Trailer_2,52.544
57352,Source_1,Station_1,11365.0,Product_1,4498.0,20441.38,2023-01-11,2023-01-13,,Trailer_1,52.544
57445,Source_1,Station_1,11819.6,Product_1,4937.0,20441.38,2023-01-13,2023-01-14,,Trailer_4,52.544
57631,Source_1,Station_1,13001.56,Product_1,3904.0,20441.38,2023-01-14,2023-01-16,,Trailer_5,52.544
57649,Source_1,Station_1,12728.8,Product_1,11254.0,20441.38,2023-01-16,2023-01-17,,Trailer_2,52.544
58059,Source_1,Station_1,11365.0,Product_1,4469.0,20441.38,2023-01-17,2023-01-20,,Trailer_1,52.544
58026,Source_1,Station_1,11365.0,Product_1,6802.0,20441.38,2023-01-20,2023-01-21,,Trailer_1,52.544
58197,Source_1,Station_1,11365.0,Product_1,6801.0,20441.38,2023-01-21,2023-01-24,,Trailer_1,52.544
58361,Source_1,Station_1,11365.0,Product_1,11345.0,20441.38,2023-01-24,2023-01-26,,Trailer_1,52.544
58465,Source_1,Station_1,20003.0,Product_1,4884.0,20441.38,2023-01-26,2023-01-28,,Trailer_3,52.544
58675,Source_1,Station_1,11365.0,Product_1,11358.0,20441.38,2023-01-28,2023-01-31,,Trailer_1,52.544
58895,Source_1,Station_1,20003.0,Product_1,9949.0,20441.38,2023-01-31,2023-02-03,,Trailer_3,52.544
59011,Source_1,Station_1,11365.0,Product_1,5829.0,20441.38,2023-02-03,2023-02-04,,Trailer_6,52.544
59178,Source_1,Station_1,11365.0,Product_1,4870.0,20441.38,2023-02-04,2023-02-07,,Trailer_6,52.544
59286,Source_1,Station_1,12728.8,Product_1,11211.0,20441.38,2023-02-07,2023-02-08,,Trailer_2,52.544
59422,Source_1,Station_1,11365.0,Product_1,11331.0,20441.38,2023-02-08,2023-02-10,,Trailer_1,52.544
59680,Source_1,Station_1,11365.0,Product_1,11296.0,20441.38,2023-02-10,2023-02-14,,Trailer_1,52.544
59840,Source_1,Station_1,11365.0,Product_1,11248.0,20441.38,2023-02-14,2023-02-16,,Trailer_1,52.544
60006,Source_1,Station_1,11365.0,Product_1,11366.0,20441.38,2023-02-16,2023-02-18,,Trailer_1,52.544
60168,Source_1,Station_1,11365.0,Product_1,11367.0,20441.38,2023-02-18,2023-02-20,,Trailer_1,52.544
60365,Source_2,Station_1,30100.0,Product_1,2424.0,20441.38,2023-02-20,2023-02-24,Tractor_1,Trailer_7,48.033
60364,Source_1,Station_1,20003.0,Product_1,9997.0,20441.38,2023-02-24,2023-02-25,,Trailer_3,52.544
60465,Source_1,Station_1,11365.0,Product_1,1236.0,20441.38,2023-02-25,2023-02-28,,Trailer_6,52.544
60626,Source_1,Station_1,20003.0,Product_1,7381.0,20441.38,2023-02-28,2023-03-01,,Trailer_3,52.544
60868,Source_1,Station_1,11365.0,Product_1,11312.0,20441.38,2023-03-01,2023-03-04,,Trailer_1,52.544
61054,Source_1,Station_1,13001.56,Product_1,6759.0,20441.38,2023-03-04,2023-03-07,,Trailer_5,52.544
61268,Source_1,Station_1,11365.0,Product_1,11272.0,20441.38,2023-03-07,2023-03-09,,Trailer_1,52.544
61319,Source_1,Station_1,25457.6,Product_1,6702.0,20441.38,2023-03-09,2023-03-11,Tractor_2,Trailer_8,52.544
61568,Source_1,Station_1,12728.8,Product_1,6274.0,20441.38,2023-03-11,2023-03-14,,Trailer_2,52.544
61766,Source_1,Station_1,11365.0,Product_1,5002.0,20441.38,2023-03-14,2023-03-16,,Trailer_6,52.544
61829,Source_1,Station_1,11365.0,Product_1,11298.0,20441.38,2023-03-16,2023-03-18,,Trailer_1,52.544
62057,Source_1,Station_1,11365.0,Product_1,11335.0,20441.38,2023-03-18,2023-03-20,,Trailer_1,52.544
62362,Source_1,Station_1,11365.0,Product_1,11131.0,20441.38,2023-03-20,2023-03-24,,Trailer_1,52.544
62633,Source_1,Station_1,11365.0,Product_1,11331.0,20441.38,2023-03-24,2023-03-28,,Trailer_1,52.544
62714,Source_1,Station_1,11365.0,Product_1,11356.0,20441.38,2023-03-28,2023-03-31,,Trailer_6,52.544
62919,Source_1,Station_1,12728.8,Product_1,4928.0,20441.38,2023-03-31,2023-04-01,,Trailer_2,52.544
63014,Source_2,Station_1,27598.77,Product_1,10014.0,20441.38,2023-04-01,2023-04-04,Tractor_3,Trailer_9,48.033
63295,Source_2,Station_1,27598.77,Product_1,4937.0,20441.38,2023-04-04,2023-04-06,Tractor_3,Trailer_9,48.033
63294,Source_1,Station_1,12728.8,Product_1,11302.0,20441.38,2023-04-06,2023-04-08,,Trailer_2,52.544
63780,Source_2,Station_1,28000.0,Product_1,10005.0,20441.38,2023-04-08,2023-04-14,Tractor_4,Trailer_10,48.033
63853,Source_1,Station_1,11365.0,Product_1,6288.0,20441.38,2023-04-14,2023-04-15,,Trailer_6,52.544
64021,Source_1,Station_1,11365.0,Product_1,11334.0,20441.38,2023-04-15,2023-04-18,,Trailer_6,52.544
64350,Source_1,Station_1,11365.0,Product_1,11402.0,20441.38,2023-04-18,2023-04-22,,Trailer_1,52.544
64597,Source_1,Station_1,12728.8,Product_1,4965.0,20441.38,2023-04-22,2023-04-26,,Trailer_2,52.544
64893,Source_1,Station_1,12728.8,Product_1,11270.0,20441.38,2023-04-26,2023-04-29,,Trailer_2,52.544
64997,Source_1,Station_1,13001.56,Product_1,6744.0,20441.38,2023-04-29,2023-05-02,,Trailer_5,52.544
65189,Source_1,Station_1,13001.56,Product_1,6781.0,20441.38,2023-05-02,2023-05-04,,Trailer_5,52.544
65380,Source_1,Station_1,11365.0,Product_1,11333.0,20441.38,2023-05-04,2023-05-06,,Trailer_1,52.544
65677,Source_2,Station_1,27598.77,Product_1,9859.0,20441.38,2023-05-06,2023-05-10,Tractor_3,Trailer_9,48.033
65867,Source_1,Station_1,20003.0,Product_1,12345.0,20441.38,2023-05-10,2023-05-13,,Trailer_3,52.544
66124,Source_2,Station_1,28898.92,Product_1,11519.0,20441.38,2023-05-13,2023-05-16,Tractor_5,Trailer_11,48.033
66451,Source_1,Station_1,11365.0,Product_1,11353.0,20441.38,2023-05-16,2023-05-20,,Trailer_1,52.544
66730,Source_2,Station_1,28998.93,Product_1,11941.0,20441.38,2023-05-20,2023-05-24,Tractor_4,Trailer_12,48.033
66939,Source_1,Station_1,11365.0,Product_1,11249.0,20441.38,2023-05-24,2023-05-27,,Trailer_1,52.544
67301,Source_2,Station_1,27598.77,Product_1,9973.0,20441.38,2023-05-27,2023-06-02,Tractor_3,Trailer_9,48.033
67404,Source_1,Station_1,25457.6,Product_1,5924.0,20441.38,2023-06-02,2023-06-03,Tractor_2,Trailer_8,52.544
67506,Source_1,Station_1,11365.2,Product_1,5924.0,20441.38,2023-06-03,2023-06-04,,Trailer_13,52.544
67748,Source_1,Station_1,20003.0,Product_1,4912.0,20441.38,2023-06-04,2023-06-07,,Trailer_3,52.544
67925,Source_1,Station_1,11365.0,Product_1,11338.0,20441.38,2023-06-07,2023-06-10,,Trailer_1,52.544
68391,Source_1,Station_1,11365.0,Product_1,11364.0,20441.38,2023-06-10,2023-06-15,,Trailer_1,52.544
68452,Source_1,Station_1,11365.0,Product_1,9049.0,20441.38,2023-06-15,2023-06-17,,Trailer_1,52.544
68514,Source_1,Station_1,11365.0,Product_1,2189.0,20441.38,2023-06-17,2023-06-18,,Trailer_1,52.544
68930,Source_2,Station_1,30100.0,Product_1,9970.0,20441.38,2023-06-18,2023-06-23,Tractor_6,Trailer_7,48.033
69117,Source_2,Station_1,27598.77,Product_1,9984.0,20441.38,2023-06-23,2023-06-27,Tractor_3,Trailer_9,48.033
69245,Source_1,Station_1,12728.8,Product_1,2711.0,20441.38,2023-06-27,2023-06-29,,Trailer_2,52.544
69507,Source_1,Station_1,11365.0,Product_1,11338.0,20441.38,2023-06-29,2023-07-01,,Trailer_1,52.544
69884,Source_1,Station_1,11365.0,Product_1,11190.0,20441.38,2023-07-01,2023-07-06,,Trailer_6,52.544
70001,Source_1,Station_1,11365.0,Product_1,11332.0,20441.38,2023-07-06,2023-07-08,,Trailer_1,52.544
70322,Source_1,Station_1,11365.0,Product_1,6823.0,20441.38,2023-07-08,2023-07-12,,Trailer_1,52.544
70555,Source_1,Station_1,27276.0,Product_1,11348.0,20441.38,2023-07-12,2023-07-15,Tractor_7,Trailer_14,52.544
70780,Source_1,Station_1,11365.0,Product_1,11374.0,20441.38,2023-07-15,2023-07-18,,Trailer_6,52.544
71023,Source_1,Station_1,11365.0,Product_1,11321.0,20441.38,2023-07-18,2023-07-21,,Trailer_6,52.544
71116,Source_1,Station_1,12274.2,Product_1,6825.0,20441.38,2023-07-21,2023-07-22,,Trailer_15,52.544
71364,Source_1,Station_1,11365.0,Product_1,6793.0,20441.38,2023-07-22,2023-07-25,,Trailer_1,52.544
71778,Source_1,Station_1,11365.0,Product_1,11355.0,20441.38,2023-07-25,2023-07-28,,Trailer_1,52.544
71779,Source_1,Station_1,11365.0,Product_1,11350.0,20441.38,2023-07-28,2023-07-29,,Trailer_6,52.544
72159,Source_1,Station_1,11365.0,Product_1,11378.0,20441.38,2023-07-29,2023-08-04,,Trailer_6,52.544
72160,Source_1,Station_1,11365.0,Product_1,11356.0,20441.38,2023-08-04,2023-08-05,,Trailer_6,52.544
72461,Source_1,Station_1,11365.0,Product_1,11289.0,20441.38,2023-08-05,2023-08-09,,Trailer_1,52.544
72699,Source_1,Station_1,11365.0,Product_1,11327.0,20441.38,2023-08-09,2023-08-11,,Trailer_6,52.544
72814,Source_1,Station_1,11365.0,Product_1,6789.0,20441.38,2023-08-11,2023-08-14,,Trailer_6,52.544
73028,Source_1,Station_1,11365.0,Product_1,11373.0,20441.38,2023-08-14,2023-08-17,,Trailer_6,52.544
74582,Source_1,Station_1,11365.0,Product_1,11376.0,20441.38,2023-08-17,2023-08-19,,Trailer_1,52.544
74581,Source_1,Station_1,11365.0,Product_1,11359.0,20441.38,2023-08-19,2023-08-23,,Trailer_6,52.544
74121,Source_1,Station_1,11365.0,Product_1,11331.0,20441.38,2023-08-23,2023-08-26,,Trailer_6,52.544
74580,Source_1,Station_1,11365.0,Product_1,6800.0,20441.38,2023-08-26,2023-08-29,,Trailer_1,52.544
74579,Source_1,Station_1,11365.0,Product_1,11326.0,20441.38,2023-08-29,2023-09-01,,Trailer_1,52.544
74578,Source_1,Station_1,11365.0,Product_1,11380.0,20441.38,2023-09-01,2023-09-03,,Trailer_6,52.544
74749,Source_1,Station_1,11365.0,Product_1,6815.0,20441.38,2023-09-03,2023-09-07,,Trailer_1,52.544
74886,Source_1,Station_1,20003.0,Product_1,14903.0,20441.38,2023-09-07,2023-09-09,,Trailer_3,52.544
75148,Source_1,Station_1,11365.0,Product_1,11318.0,20441.38,2023-09-09,2023-09-12,,Trailer_6,52.544
75177,Source_1,Station_1,11365.0,Product_1,11383.0,20441.38,2023-09-12,2023-09-15,,Trailer_6,52.544
75316,Source_1,Station_1,27276.0,Product_1,11271.0,20441.38,2023-09-15,2023-09-17,Tractor_7,Trailer_14,52.544
75714,Source_1,Station_1,11365.0,Product_1,11392.0,20441.38,2023-09-17,2023-09-20,,Trailer_1,52.544
75893,Source_1,Station_1,27276.0,Product_1,11336.0,20441.38,2023-09-20,2023-09-23,Tractor_7,Trailer_14,52.544
76069,Source_2,Station_1,28898.92,Product_1,11522.0,20441.38,2023-09-23,2023-09-26,Tractor_5,Trailer_11,48.033
76279,Source_1,Station_1,11365.0,Product_1,11337.0,20441.38,2023-09-26,2023-09-29,,Trailer_1,52.544
76384,Source_1,Station_1,11365.0,Product_1,11440.0,20441.38,2023-09-29,2023-09-30,,Trailer_1,52.544
76741,Source_1,Station_1,11365.0,Product_1,2282.0,20441.38,2023-09-30,2023-10-02,,Trailer_1,52.544
76779,Source_1,Station_1,11365.0,Product_1,9090.0,20441.38,2023-10-02,2023-10-04,,Trailer_1,52.544
77533,Source_1,Station_1,11365.0,Product_1,11378.0,20441.38,2023-10-04,2023-10-07,,Trailer_1,52.544
77534,Source_1,Station_1,11365.0,Product_1,11376.0,20441.38,2023-10-07,2023-10-11,,Trailer_1,52.544
77532,Source_1,Station_1,11365.0,Product_1,11376.0,20441.38,2023-10-11,2023-10-15,,Trailer_1,52.544
77531,Source_1,Station_1,11365.0,Product_1,11361.0,20441.38,2023-10-15,2023-10-17,,Trailer_6,52.544
77530,Source_1,Station_1,11365.0,Product_1,11352.0,20441.38,2023-10-17,2023-10-17,,Trailer_6,52.544
77976,Source_1,Station_1,11365.0,Product_1,11375.0,20441.38,2023-10-17,2023-10-20,,Trailer_1,52.544
78234,Source_1,Station_1,11365.0,Product_1,11329.0,20441.38,2023-10-20,2023-10-24,,Trailer_1,52.544
78469,Source_1,Station_1,11365.0,Product_1,11361.0,20441.38,2023-10-24,2023-10-26,,Trailer_1,52.544
78951,Source_1,Station_1,27276.0,Product_1,11368.0,20441.38,2023-10-26,2023-10-28,,Trailer_14,52.544
78784,Source_2,Station_1,30100.0,Product_1,10016.0,20441.38,2023-10-28,2023-11-01,Tractor_8,Trailer_7,48.033
79030,Source_1,Station_1,11365.0,Product_1,11335.0,20441.38,2023-11-01,2023-11-03,,Trailer_1,52.544
79068,Source_1,Station_1,11365.0,Product_1,4543.0,20441.38,2023-11-03,2023-11-04,,Trailer_1,52.544
79235,Source_1,Station_1,11365.0,Product_1,6801.0,20441.38,2023-11-04,2023-11-06,,Trailer_6,52.544
79470,Source_1,Station_1,11365.0,Product_1,11363.0,20441.38,2023-11-06,2023-11-09,,Trailer_6,52.544
79580,Source_1,Station_1,11365.0,Product_1,9081.0,20441.38,2023-11-09,2023-11-11,,Trailer_1,52.544
79667,Source_1,Station_1,13001.56,Product_1,2303.0,20441.38,2023-11-11,2023-11-13,,Trailer_5,52.544
79977,Source_1,Station_1,11365.0,Product_1,11334.0,20441.38,2023-11-13,2023-11-16,,Trailer_6,52.544
80087,Source_1,Station_1,11365.0,Product_1,11308.0,20441.38,2023-11-16,2023-11-18,,Trailer_6,52.544
80242,Source_1,Station_1,12728.8,Product_1,11307.0,20441.38,2023-11-18,2023-11-21,,Trailer_2,52.544
80574,Source_1,Station_1,11365.0,Product_1,6837.0,20441.38,2023-11-21,2023-11-25,,Trailer_1,52.544
80523,Source_1,Station_1,11365.0,Product_1,11354.0,20441.38,2023-11-25,2023-11-25,,Trailer_6,52.544
80743,Source_1,Station_1,11365.0,Product_1,4546.0,20441.38,2023-11-25,2023-11-27,,Trailer_1,52.544
80798,Source_1,Station_1,11365.0,Product_1,9577.0,20441.38,2023-11-27,2023-11-29,,Trailer_6,52.544
81125,Source_1,Station_1,13001.56,Product_1,12963.0,20441.38,2023-11-29,2023-12-02,,Trailer_16,52.544
81380,Source_1,Station_1,11365.0,Product_1,11346.0,20441.38,2023-12-02,2023-12-06,,Trailer_6,52.544
81576,Source_1,Station_1,11365.0,Product_1,6827.0,20441.38,2023-12-06,2023-12-08,,Trailer_1,52.544
81811,Source_1,Station_1,11365.0,Product_1,9021.0,20441.38,2023-12-08,2023-12-10,,Trailer_1,52.544
82029,Source_1,Station_1,13001.56,Product_1,2266.0,20441.38,2023-12-10,2023-12-14,,Trailer_5,52.544
82031,Source_1,Station_1,11365.0,Product_1,11404.0,20441.38,2023-12-14,2023-12-14,,Trailer_1,52.544
82293,Source_1,Station_1,11365.0,Product_1,11364.0,20441.38,2023-12-14,2023-12-17,,Trailer_1,52.544
82441,Source_1,Station_1,11365.0,Product_1,11355.0,20441.38,2023-12-17,2023-12-19,,Trailer_6,52.544
82620,Source_1,Station_1,11365.0,Product_1,11379.0,20441.38,2023-12-19,2023-12-22,,Trailer_6,52.544
82810,Source_1,Station_1,11365.0,Product_1,8188.0,20441.38,2023-12-22,2023-12-24,,Trailer_6,52.544
83076,Source_1,Station_1,25457.6,Product_1,13610.0,20441.38,2023-12-24,2023-12-31,Tractor_2,Trailer_8,52.544
83486,Source_1,Station_1,11365.0,Product_1,6838.0,20441.38,2023-12-31,2024-01-04,,Trailer_1,52.544
83557,Source_1,Station_1,13001.56,Product_1,6815.0,20441.38,2024-01-04,2024-01-06,,Trailer_5,52.544
83795,Source_1,Station_1,11365.0,Product_1,11327.0,20441.38,2024-01-06,2024-01-09,,Trailer_6,52.544
84028,Source_1,Station_1,11365.0,Product_1,6741.0,20441.38,2024-01-09,2024-01-12,,Trailer_1,52.544
84201,Source_1,Station_1,11365.0,Product_1,11410.0,20441.38,2024-01-12,2024-01-14,,Trailer_1,52.544
84238,Source_1,Station_1,12728.8,Product_1,9951.0,20441.38,2024-01-14,2024-01-16,,Trailer_2,52.544
84643,Source_1,Station_1,11365.0,Product_1,5894.0,20441.38,2024-01-16,2024-01-19,,Trailer_6,52.544
84642,Source_1,Station_1,12728.8,Product_1,12642.0,20441.38,2024-01-19,2024-01-20,,Trailer_2,52.544
84859,Source_1,Station_1,11365.0,Product_1,11301.0,20441.38,2024-01-20,2024-01-23,,Trailer_6,52.544
85106,Source_1,Station_1,11365.0,Product_1,11291.0,20441.38,2024-01-23,2024-01-26,,Trailer_17,52.544
85223,Source_1,Station_1,11365.0,Product_1,11350.0,20441.38,2024-01-26,2024-01-28,,Trailer_17,52.544
85485,Source_1,Station_1,11365.0,Product_1,11320.0,20441.38,2024-01-28,2024-01-31,,Trailer_1,52.544
85632,Source_1,Station_1,11365.0,Product_1,11287.0,20441.38,2024-01-31,2024-02-02,,Trailer_6,52.544
85781,Source_1,Station_1,11365.0,Product_1,11332.0,20441.38,2024-02-02,2024-02-04,,Trailer_6,52.544
85900,Source_1,Station_1,11365.0,Product_1,11337.0,20441.38,2024-02-04,2024-02-06,,Trailer_6,52.544
86169,Source_1,Station_1,11365.0,Product_1,11366.0,20441.38,2024-02-06,2024-02-09,,Trailer_6,52.544
86168,Source_1,Station_1,11365.0,Product_1,11366.0,20441.38,2024-02-09,2024-02-10,,Trailer_1,52.544
86469,Source_1,Station_1,11365.0,Product_1,11324.0,20441.38,2024-02-10,2024-02-14,,Trailer_6,52.544
86588,Source_1,Station_1,11365.0,Product_1,11382.0,20441.38,2024-02-14,2024-02-17,,Trailer_1,52.544
86901,Source_1,Station_1,12728.8,Product_1,9943.0,20441.38,2024-02-17,2024-02-20,,Trailer_2,52.544
87142,Source_1,Station_1,29549.0,Product_1,10995.0,20441.38,2024-02-20,2024-02-24,Tractor_9,Trailer_18,52.544
